Date,Open,High,Low,Close,Adj Close,Volume,Daily_Return_Pct,MA_20,MA_50,Ticker
2008-11-26,147.375,149.375,142.768997,148.386993,53.459599,14369440.0,0.43520548174127427,156.32050095,169.13226042000002,INFY
2008-11-27,,,,,,,,,,INFY
2008-11-28,146.268997,156.875,140.011993,155.481003,56.015373,24031424.0,,,,INFY
2008-12-01,156.25,162.337006,152.25,153.899994,55.445782,18738696.0,-1.0168502707690874,,,INFY
2008-12-02,153.0,153.0,147.125,151.044006,54.416843,12814328.0,-1.8557427624071199,,,INFY
2008-12-03,150.5,152.75,142.5,144.569,52.084087,17869336.0,-4.2868341296509405,,,INFY
2008-12-04,145.0,149.744003,143.544006,149.050003,53.698463,11324040.0,3.0995600716613003,,,INFY
2008-12-05,149.0,149.0,140.324997,141.811996,51.090816,12210128.0,-4.85609315955533,,,INFY
2008-12-08,144.399994,148.75,142.261993,144.718994,52.138123,23661144.0,2.0498956942965663,,,INFY
2008-12-10,148.113007,150.837006,144.886993,146.718994,52.858688,22436400.0,1.3819886006117388,,,INFY
2008-12-11,147.106003,147.212006,140.287994,141.863007,51.1092,16501136.0,-3.3097193946136194,,,INFY
2008-12-12,140.0,140.0,134.649994,138.106003,49.75565,13078352.0,-2.6483324155112675,,,INFY
2008-12-15,140.0,142.25,136.255997,137.787994,49.641094,13738152.0,-0.2302644295628431,,,INFY
2008-12-16,137.875,141.625,135.630997,140.600006,50.654175,8900720.0,2.0408251244299347,,,INFY
2008-12-17,142.455994,147.0,140.375,142.694,51.408588,24437040.0,1.4893271057186075,,,INFY
2008-12-18,143.125,148.050003,143.125,147.130997,53.007107,12669424.0,3.1094488906331152,,,INFY
2008-12-19,147.636993,150.0,143.656006,148.912994,53.649113,12520736.0,1.2111635456395264,,,INFY
2008-12-22,150.0,150.625,145.761993,148.350006,53.446285,8749184.0,-0.3780650599235047,,,INFY
2008-12-23,146.975006,148.75,145.449997,147.005997,52.962063,7100208.0,-0.9059716519323913,,,INFY
2008-12-24,147.5,152.781006,145.962006,146.75,52.869827,8551056.0,-0.17414051482539383,,,INFY
2008-12-26,144.630997,148.600006,138.125,138.656006,49.953808,11889320.0,-5.515498466780244,,,INFY
2008-12-29,138.755997,139.949997,133.125,139.218994,50.156639,14264688.0,0.4060321772141773,145.2184997,,INFY
2008-12-30,140.25,141.731003,136.393997,140.988007,50.793972,8457504.0,1.2706692881288895,144.49384990000001,,INFY
2008-12-31,141.875,142.375,137.886993,139.431,50.233013,7221320.0,-1.1043542164547393,143.7704002,,INFY
2009-01-02,145.625,145.625,140.475006,141.511993,50.982731,9012080.0,1.4924894750808493,143.29379955,,INFY
2009-01-05,142.5,148.087006,142.462006,146.600006,52.815804,11241232.0,3.5954641667720777,143.39534985,,INFY
2009-01-06,147.5,148.75,143.169006,146.069,52.624496,11563864.0,-0.3622141734428208,143.24629969999998,,INFY
2009-01-07,146.393997,149.694,143.199997,148.444,53.480152,22538352.0,1.6259439032238143,143.57789989999998,,INFY
2009-01-09,148.261993,158.324997,146.25,150.425003,54.193848,40182160.0,1.3345120045269665,143.86320035,,INFY
2009-01-12,143.955994,151.244003,142.281006,144.962006,52.225685,31269176.0,-3.6317080877837804,143.77535095,,INFY
2009-01-13,147.494003,155.300003,139.875,153.518997,55.30851,43956656.0,5.902919831283238,144.35815044999998,,INFY
2009-01-14,153.188004,164.25,153.188004,162.949997,58.706245,41551264.0,6.143213663648406,145.60035015,,INFY
2009-01-15,157.5,157.988007,151.875,156.462006,56.368809,25359176.0,-3.9815839947514697,146.53405075,,INFY
2009-01-16,157.25,159.238007,155.0,158.425003,57.076019,12717272.0,1.2546157691471826,147.4253006,,INFY
2009-01-19,158.375,159.093994,155.069,157.755997,56.834984,9543688.0,-0.42228561611578064,148.17840045,,INFY
2009-01-20,155.0,157.125,153.75,156.468994,56.371334,4974688.0,-0.8158187482406709,148.6453003,,INFY
2009-01-21,153.875,156.438004,151.75,152.981003,55.114685,7770736.0,-2.2291898930468124,148.84870075,,INFY
2009-01-22,154.375,154.875,150.375,153.863007,55.432453,8776080.0,0.5765447883748109,149.1243508,,INFY
2009-01-23,151.25,153.350006,148.819,150.580994,54.250042,11625024.0,-2.13307478125655,149.30310064999998,,INFY
2009-01-27,152.375,157.5,151.875,156.511993,56.386814,10507184.0,3.9387434246847874,149.79120029999999,,INFY
2009-01-28,157.875,162.0,156.25,160.837006,57.945004,7187848.0,2.7633748169062056,150.9002503,,INFY
2009-01-29,161.25,164.875,160.875,163.768997,59.001297,26001752.0,1.8229579578222355,152.12775044999998,,INFY
2009-01-30,162.625,164.25,160.875,163.330994,58.843498,11631672.0,-0.26745172042544896,153.24489979999998,,INFY
2009-02-02,161.5,162.125,158.494003,159.955994,57.627586,16870008.0,-2.0663561258924323,154.2711495,,INFY
2009-02-03,160.75,162.75,157.574997,160.311996,57.755848,16125072.0,0.22256246302341243,155.21114964999998,,INFY
2009-02-04,160.625,163.274994,159.544006,160.205994,57.717655,7574304.0,-0.0661223131424249,155.89144905,,INFY
2009-02-05,160.75,161.875,154.688004,156.981003,56.555771,17537624.0,-2.0130276773539513,156.4370492,,INFY
2009-02-06,157.363007,162.175003,156.0,161.113007,58.044422,14020016.0,2.6321681738777247,157.07049955000002,,INFY
2009-02-09,158.5,165.0,158.5,164.011993,59.088852,11513640.0,1.799349446689913,157.74984905,,INFY
2009-02-10,164.311996,165.625,161.875,163.550003,58.92239,13367760.0,-0.2816806207580069,158.6792489,,INFY
2009-02-11,161.25,163.113007,160.0,162.738007,58.629871,7057024.0,-0.496481800737103,159.1401994,,INFY
2009-02-12,161.875,161.875,156.261993,156.819,56.497421,11242656.0,-3.637138680210106,158.83364955,151.11885988,INFY
2009-02-13,158.744003,159.994003,155.505997,156.455994,56.366642,12791336.0,-0.23148087923018368,158.83334895000002,151.1383597,INFY
2009-02-16,157.494003,157.5,151.886993,152.681,55.006607,11885736.0,-2.412815197096252,158.5461488,151.11397982,INFY
2009-02-17,151.0,152.350006,145.625,146.744003,52.867683,15025184.0,-3.8884975864711513,157.9955491,151.02797976,INFY
2009-02-18,147.311996,148.5,139.419006,147.350006,53.085999,11096656.0,0.4129661094225634,157.5395997,151.08359988,INFY
2009-02-19,146.875,151.712006,146.5,151.106003,54.439186,9882800.0,2.5490307750648977,157.4458497,151.12471988000001,INFY
2009-02-20,148.75,149.544006,145.625,147.143997,53.011795,7635856.0,-2.6220043686814853,157.1098992,151.2313599,INFY
2009-02-24,144.375,149.0,143.188004,148.194,53.390068,7708808.0,0.7135887439566835,156.9905495,151.30086002,INFY
2009-02-25,149.0,153.056,148.75,152.181,54.826473,10625008.0,2.690392323575863,156.77399985,151.41010014000003,INFY
2009-02-26,150.5,155.0,150.0,154.5,55.661945,16571848.0,1.5238433181540278,156.45714955,151.66284000000002,INFY
2009-02-27,153.462006,154.731003,150.468994,153.906006,55.447948,13326776.0,-0.3844621359223366,155.964,151.97884006,INFY
2009-03-02,152.25,153.475006,148.75,152.380997,54.898525,11820592.0,-0.9908703627849236,155.41650015,152.27070012000001,INFY
2009-03-03,150.75,152.475006,148.931,149.699997,53.93264,8818448.0,-1.7594057348240155,154.9037003,152.45269994,INFY
2009-03-04,150.125,152.125,147.5,149.899994,54.004704,8641608.0,0.13359853307144398,154.3831002,152.59681982,INFY
2009-03-05,150.625,153.100006,146.949997,147.744003,53.227966,6939760.0,-1.438286248363696,153.76000065,152.60907994,INFY
2009-03-06,147.75,154.75,143.938004,152.419006,54.912216,10278952.0,3.1642590596384412,153.53190080000002,152.67920017999998,INFY
2009-03-09,150.636993,152.0,148.761993,150.255997,54.13295,9863440.0,-1.4191202637812705,152.98905029999997,152.71732,INFY
2009-03-12,151.511993,156.981003,151.375,153.475006,55.292671,16502352.0,2.142349765913165,152.46220095,152.84670018,INFY
2009-03-13,156.175003,162.494003,155.0,162.130997,58.411179,14660976.0,5.640000431079972,152.39125065,153.15432012,INFY
2009-03-16,162.875,162.875,158.636993,160.975006,57.994713,13499264.0,-0.7129981443338651,152.3031006,153.60070012,INFY
2009-03-17,160.5,160.5,157.125,158.188004,56.990631,9897992.0,-1.731325917763904,152.3715508,153.98008031999998,INFY
2009-03-18,158.125,162.75,158.125,159.755997,57.555538,14668304.0,0.9912211800839232,152.53655095000002,154.35544012,INFY
2009-03-19,160.625,163.824997,158.75,162.149994,58.418015,13425064.0,1.4985334165577457,153.01000065,154.80982,INFY
2009-03-20,165.425003,165.425003,160.625,162.024994,58.372974,9503144.0,-0.0770891178694666,153.77405019999998,155.22008002,INFY
2009-03-23,162.524994,167.494003,161.899994,166.412994,59.953869,12242840.0,2.708224139789195,154.7271996,155.61633978,INFY
2009-03-24,168.125,170.031006,163.886993,165.093994,59.478664,10746656.0,-0.7926063754372326,155.42659915000002,155.99683966,INFY
2009-03-25,164.031006,168.75,164.031006,167.369003,60.298279,13099280.0,1.3780083362693318,156.43784945,156.37533972,INFY
2009-03-26,168.125,174.636993,167.774994,172.393997,62.108643,23946120.0,3.0023444663765053,157.64784930000002,156.81471960000002,INFY
2009-03-27,171.875,173.25,166.255997,168.113007,60.566322,16699616.0,-2.4832593213788057,158.44444965,157.27773962,INFY
2009-03-30,165.0,166.125,158.205994,162.662994,58.60284,12393408.0,-3.241874675408085,158.85259935000002,157.46061956,INFY
2009-03-31,163.75,167.488007,162.625,165.488007,59.620628,12775224.0,1.7367275312785813,159.4316994,157.51137976,INFY
2009-04-01,166.393997,172.494003,163.169006,171.718994,61.865463,12438888.0,3.7652196754052403,160.39859925000002,157.81651952,INFY
2009-04-02,174.5,179.375,172.819,177.425003,63.921165,15717736.0,3.322875860779839,161.78484955000002,158.19651952,INFY
2009-04-06,180.406006,183.625,173.005997,176.755997,63.680157,13856976.0,-0.3770641052208368,163.1276497,158.57651952,INFY
2009-04-08,173.755997,179.330994,169.561996,178.143997,64.180199,19805776.0,0.785263314149387,164.6476494,159.01001957999998,INFY
2009-04-09,179.375,179.613007,174.5,178.375,64.263435,15061688.0,0.12967206523382124,165.9454491,159.51789952,INFY
2009-04-13,179.375,183.369003,172.149994,176.162994,63.466511,18836512.0,-1.2400874562018216,167.24079895,159.96389926,INFY
2009-04-15,168.5,172.75,162.518997,171.324997,61.723522,44636272.0,-2.746318559958172,168.1332985,160.37877932,INFY
2009-04-16,171.5,175.0,165.0,168.149994,60.579655,27307312.0,-1.8532047603071033,168.43424835000002,160.61153934,INFY
2009-04-17,168.75,177.600006,168.75,174.662994,62.926105,23499408.0,3.8733275244720033,169.11864775,160.88805910000002,INFY
2009-04-20,173.130997,176.25,171.625,174.181,62.752457,14932696.0,-0.2759565658195351,169.91829755,161.09629916,INFY
2009-04-21,172.375,173.738007,169.375,170.306,61.356411,8013864.0,-2.224697297638667,170.4457977,161.23579928,INFY
2009-04-22,170.25,173.5,169.438004,172.636993,62.196205,10622240.0,1.3687086773219947,170.97014765,161.48941926,INFY
2009-04-23,171.393997,182.462006,169.550003,181.306,65.319382,12194592.0,5.021523399680627,171.93419795,161.90929934,INFY
2009-04-24,180.136993,182.25,175.569,181.074997,65.236176,11411288.0,-0.12741056556320185,172.66729809999998,162.3266794,INFY
2009-04-27,180.988007,181.238007,176.875,179.488007,64.664413,9638104.0,-0.8764269094534316,173.38699875,162.77681948,INFY
2009-04-28,178.75,183.636993,177.25,178.843994,64.432381,9435696.0,-0.3588055886096009,173.96074830000003,163.13143922,INFY
2009-04-29,180.0,189.705994,178.794006,188.656006,67.967377,15414232.0,5.486352535830741,174.77384875,163.62431948000003,INFY
2009-04-30,373.25,373.25,373.25,373.25,134.471329,0.0,97.84686844266173,185.0306984,167.81831942,INFY
2009-05-04,190.011993,204.488007,190.011993,203.524994,73.324242,20014080.0,-45.472205224380446,187.0737984,168.63405916,INFY
2009-05-05,201.944,203.125,193.787994,197.755997,71.24585,18430600.0,-2.8345398206964134,188.6871979,169.45279910000002,INFY
2009-05-06,196.938004,201.125,193.488007,196.656006,70.849548,14468192.0,-0.5562364816678711,189.93404850000002,170.25679934,INFY
2009-05-07,196.25,196.744003,191.162994,194.093994,69.926537,14538144.0,-1.3027885860755206,190.76749805,171.08505922,INFY
2009-05-08,193.625,196.375,187.649994,190.087006,68.482925,12951168.0,-2.064457491662519,191.43404850000002,171.95191928,INFY
2009-05-11,190.0,192.337006,186.524994,189.705994,68.345665,6537800.0,-0.20044084444151844,192.01214835000002,172.79903904,INFY
2009-05-12,188.125,200.625,187.949997,199.806,71.984413,14131776.0,5.324031037205934,193.08369835000002,173.77303898000002,INFY
2009-05-13,200.031006,200.031006,195.0,196.744003,70.881248,7508488.0,-1.5324850104601606,194.11274880000002,174.7650391,INFY
2009-05-14,192.5,198.5,191.613007,195.899994,70.577179,8547272.0,-0.42898842512623103,195.34149865,175.71915898,INFY
2009-05-15,196.375,200.875,195.069,199.100006,71.730072,8377648.0,1.6334926482948209,196.88899925,176.6575391,INFY
2009-05-18,213.125,238.863007,210.125,225.011993,81.065407,139624.0,13.0145586233684,199.4064492,178.06777896,INFY
2009-05-19,213.906006,224.375,193.5,194.869003,70.205757,44417904.0,-13.396170398792917,200.44084934999998,178.8870389,INFY
2009-05-20,194.75,201.0,189.419006,191.363007,68.942635,33408600.0,-1.7991553022929874,201.49369969999998,179.6666791,INFY
2009-05-21,190.125,194.375,186.5,187.800003,67.658981,19423488.0,-1.8619084513027184,202.2518502,180.42867922000002,INFY
2009-05-22,186.25,191.125,185.630997,190.287994,68.555344,9119160.0,1.3248088180275452,202.7009499,181.23643922,INFY
2009-05-25,191.25,191.25,186.319,188.880997,68.048447,10456560.0,-0.7394039794228924,203.0912499,182.0591791,INFY
2009-05-26,190.511993,195.074997,188.886993,193.455994,69.696686,11653664.0,2.4221584344983116,203.78964925,182.87991886,INFY
2009-05-27,195.25,199.625,194.518997,198.518997,71.520752,9898848.0,2.617134209860672,204.77339940000002,183.84517885999998,INFY
2009-05-28,189.694,203.625,189.694,197.375,71.108612,20866896.0,-0.5762657565714036,205.2093491,184.72317874,INFY
2009-05-29,198.593994,201.875,196.875,200.636993,72.283813,13918392.0,1.6526880303989744,196.57869875,185.49329866,INFY
2009-06-01,201.919006,210.712006,200.669006,209.561996,75.499214,13187728.0,4.448333712816366,196.88054885000003,186.46503846,INFY
2009-06-02,212.481003,213.5,207.875,211.080994,76.046486,10426160.0,0.7248442126882582,197.5467987,187.52289826,INFY
2009-06-03,211.031006,213.5,201.649994,205.188004,73.923393,13714024.0,-2.7918145960597496,197.9733986,188.4315384,INFY
2009-06-04,204.350006,206.175003,200.125,203.738007,78.570396,10945016.0,-0.7066675301349523,198.45559925,189.26329866,INFY
2009-06-05,206.5,214.375,204.375,212.363007,81.896591,16594680.0,4.2333780166996515,199.5693993,190.27005891999997,INFY
2009-06-08,212.25,219.0,211.5,217.761993,83.978668,11278384.0,2.542338270808142,200.97219925,191.29703890000002,INFY
2009-06-09,216.25,225.0,215.024994,224.350006,86.519295,16875544.0,3.0253272893217886,202.19939955,192.48215914,INFY
2009-06-10,223.75,229.75,220.375,226.100006,87.194176,17733368.0,0.780031180386942,203.6671997,193.65677920000002,INFY
2009-06-11,230.550003,230.550003,215.074997,218.869003,84.405586,16257800.0,-3.1981436568383037,204.81565015,194.58627932,INFY
2009-06-12,220.125,221.875,214.125,216.056,83.32077,9467072.0,-1.2852450376447222,205.66344985,195.54513917999998,INFY
2009-06-15,215.613007,221.994003,210.518997,214.386993,82.677132,16612752.0,-0.7724881512200632,205.13219985,196.57961916,INFY
2009-06-16,213.5,216.869003,210.625,215.580994,83.137573,9519696.0,0.5569372391915683,206.1677994,197.5814789,INFY
2009-06-17,212.25,217.761993,209.544006,213.931,82.501289,13470704.0,-0.7653708100074819,207.29619904999998,198.42571902,INFY
2009-06-18,211.5,220.25,210.705994,215.718994,83.190811,12714408.0,0.8357806956448499,208.69214860000002,199.19159884,INFY
